seq_id,feature_type,start,end,strand,geneid,locus_tag,gene,protein_id,product,normalized_label,normalized_quality,go_terms,go_bp,go_mf,go_cc,goslim_terms
NP_417502.1,CDS,3173504,3175396,-,947501,b3030,parE,NP_417502.1,DNA topoisomerase IV subunit B,topoisomerase,medium,GO:0000166;GO:0003677;GO:0003916;GO:0003918;GO:0005515;GO:0005524;GO:0005694;GO:0005829;GO:0006265;GO:0007059;GO:0007062;GO:0009330;GO:0016853;GO:0030541;GO:0046677;GO:0046872;GO:0051276,GO:0006265;GO:0007059;GO:0007062;GO:0030541;GO:0046677;GO:0051276,GO:0000166;GO:0003677;GO:0003916;GO:0003918;GO:0005515;GO:0005524;GO:0016853;GO:0046872,GO:0005694;GO:0005829;GO:0009330,GO:0003677;GO:0003824;GO:0005694;GO:0005829;GO:0007059;GO:0016853;GO:0043226;GO:0140097;GO:0140657
NP_417503.1,CDS,3175425,3176006,-,947488,b3031,yqiA,NP_417503.1,esterase YqiA,other,low,GO:0005829;GO:0016787;GO:0016788;GO:0052689,,GO:0016787;GO:0016788;GO:0052689,GO:0005829,GO:0003824;GO:0005829;GO:0016787
NP_417504.1,CDS,3176006,3176833,-,947515,b3032,cpdA,NP_417504.1,cAMP phosphodiesterase,other,low,GO:0000166;GO:0004112;GO:0004115;GO:0008198;GO:0016787;GO:0046872,,GO:0000166;GO:0004112;GO:0004115;GO:0008198;GO:0016787;GO:0046872,,GO:0003824;GO:0016787
NP_417505.1,CDS,3176858,3177280,-,947518,b3033,yqiB,NP_417505.1,DUF1249 domain-containing protein YqiB,other,low,,,,,
NP_417506.1,CDS,3177281,3177910,-,947519,b3034,nudF,NP_417506.1,ADP-sugar pyrophosphatase,phosphatase,medium,GO:0000287;GO:0005515;GO:0005829;GO:0006753;GO:0009408;GO:0016462;GO:0016787;GO:0016818;GO:0019144;GO:0019693;GO:0042803;GO:0046872;GO:0047631,GO:0006753;GO:0009408;GO:0019693,GO:0000287;GO:0005515;GO:0016462;GO:0016787;GO:0016818;GO:0019144;GO:0042803;GO:0046872;GO:0047631,GO:0005829,GO:0003824;GO:0005829;GO:0016787;GO:0055086;GO:1901135
NP_417507.2,CDS,3178115,3179596,+,947521,b3035,tolC,NP_417507.2,outer membrane channel TolC,membrane_protein,low,GO:0005216;GO:0005515;GO:0009279;GO:0009410;GO:0009636;GO:0015125;GO:0015288;GO:0015562;GO:0015721;GO:0016020;GO:0019867;GO:0034220;GO:0042802;GO:0042930;GO:0042931;GO:0046677;GO:0055085;GO:0098567;GO:0140330;GO:1990196;GO:1990281;GO:1990961,GO:0009410;GO:0009636;GO:0015721;GO:0034220;GO:0042930;GO:0046677;GO:0055085;GO:0140330;GO:1990961,GO:0005216;GO:0005515;GO:0015125;GO:0015288;GO:0015562;GO:0042802;GO:0042931,GO:0009279;GO:0016020;GO:0019867;GO:0098567;GO:1990196;GO:1990281,GO:0005215;GO:0005886;GO:0030312;GO:0055085;GO:0098754
NP_417509.3,CDS,3179744,3180415,+,945086,b3037,ygiB,NP_417509.3,DUF1190 domain-containing protein YgiB,other,low,GO:0009279;GO:0044010,GO:0044010,,GO:0009279,GO:0030312
NP_417510.1,CDS,3180421,3181581,+,947249,b3038,ygiC,NP_417510.1,putative acid--amine ligase YgiC,low_info,low,GO:0000166;GO:0005524;GO:0016874;GO:0046872,,GO:0000166;GO:0005524;GO:0016874;GO:0046872,,GO:0003824;GO:0016874
NP_417511.3,CDS,3181619,3182434,-,946447,b3039,ygiD,NP_417511.3,"4,5-DOPA dioxygenase extradiol",other,low,GO:0005737;GO:0008198;GO:0008270;GO:0016491;GO:0046872;GO:0050297;GO:0051213,,GO:0008198;GO:0008270;GO:0016491;GO:0046872;GO:0050297;GO:0051213,GO:0005737,GO:0003824;GO:0016491
NP_417512.1,CDS,3182550,3183323,+,947035,b3040,zupT,NP_417512.1,divalent metal ion transporter ZupT,transporter,medium,GO:0005385;GO:0005886;GO:0006811;GO:0006824;GO:0006826;GO:0006829;GO:0015093;GO:0016020;GO:0030001;GO:0046872;GO:0046873;GO:0055085;GO:0071577;GO:0071578;GO:0098711,GO:0006811;GO:0006824;GO:0006826;GO:0006829;GO:0030001;GO:0055085;GO:0071577;GO:0071578;GO:0098711,GO:0005385;GO:0015093;GO:0046872;GO:0046873,GO:0005886;GO:0016020,GO:0005215;GO:0005886;GO:0055085
NP_417513.1,CDS,3183813,3184466,-,947526,b3041,ribB,NP_417513.1,"3,4-dihydroxy-2-butanone-4-phosphate synthase",synthase,low,GO:0000287;GO:0005829;GO:0005886;GO:0008686;GO:0009231;GO:0016829;GO:0030145;GO:0042802;GO:0042803;GO:0046872,GO:0009231,GO:0000287;GO:0008686;GO:0016829;GO:0030145;GO:0042802;GO:0042803;GO:0046872,GO:0005829;GO:0005886,GO:0003824;GO:0005829;GO:0005886;GO:0006766;GO:0016829
NP_417514.4,CDS,3184840,3185130,+,947524,b3042,ubiK,NP_417514.4,ubiquinone biosynthesis accessory factor UbiK,other,low,GO:0005515;GO:0005737;GO:0005829;GO:0006744;GO:0016020;GO:0042802;GO:0110142,GO:0006744,GO:0005515;GO:0042802,GO:0005737;GO:0005829;GO:0016020;GO:0110142,GO:0005829
NP_417515.1,CDS,3185414,3185965,+,947522,b3043,ygiL,NP_417515.1,putative fimbrial protein YgiL,low_info,low,GO:0007155;GO:0009289;GO:0043709,GO:0007155;GO:0043709,,GO:0009289,GO:0007155
NP_417516.3,CDS,3186187,3186552,+,947520,b3044,insC5,NP_417516.3,IS2 insertion element repressor InsA,transcriptional_regulator,high,GO:0003677;GO:0004803;GO:0006310;GO:0006313;GO:0032196,GO:0006310;GO:0006313;GO:0032196,GO:0003677;GO:0004803,,GO:0003677;GO:0003824;GO:0006310;GO:0140097
NP_417517.1,CDS,3186510,3187415,+,947517,b3045,insD5,NP_417517.1,IS2 insertion element protein InsB,other,low,GO:0003676;GO:0003677;GO:0006310;GO:0015074;GO:0032196,GO:0006310;GO:0015074;GO:0032196,GO:0003676;GO:0003677,,GO:0003677;GO:0006310
b3046,CDS,3186025,3189865,+,947529,b3046,yqiG,,putative outer membrane usher protein YqiG,low_info,low,GO:0009279;GO:0009297;GO:0015473,GO:0009297,GO:0015473,GO:0009279,GO:0005215;GO:0030312
NP_417519.4,CDS,3189881,3190630,+,947531,b3047,yqiH,NP_417519.4,putative fimbrial chaperone YqiH,low_info,low,GO:0006457;GO:0006974;GO:0030288;GO:0042597;GO:0044183;GO:0071555,GO:0006457;GO:0006974;GO:0071555,GO:0044183,GO:0030288;GO:0042597,GO:0006457;GO:0044183;GO:0051604;GO:0071554
NP_417520.1,CDS,3190632,3191696,+,947535,b3048,yqiI,NP_417520.1,putative fimbrial protein YqiI,low_info,low,GO:0007155;GO:0009289;GO:0051595,GO:0007155;GO:0051595,,GO:0009289,GO:0007155
NP_417521.1,CDS,3191739,3191939,-,947533,b3049,glgS,NP_417521.1,surface composition regulator,other,low,GO:1900191;GO:1900232;GO:1902201,GO:1900191;GO:1900232;GO:1902201,,,
NP_417522.1,CDS,3192208,3192837,+,947530,b3050,yqiJ,NP_417522.1,DUF1449 domain-containing inner membrane proteinYqiJ,membrane_protein,low,GO:0005886;GO:0006974,GO:0006974,,GO:0005886,GO:0005886
NP_417523.1,CDS,3192864,3194525,+,947537,b3051,yqiK,NP_417523.1,flotillin family inner membrane protein YqiK,membrane_protein,low,GO:0005829;GO:0005886;GO:0045121,,,GO:0005829;GO:0005886;GO:0045121,GO:0005829;GO:0005886
NP_417524.1,CDS,3195320,3196753,-,947548,b3052,hldE,NP_417524.1,fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase,kinase,medium,GO:0000166;GO:0003824;GO:0005524;GO:0005829;GO:0005975;GO:0009103;GO:0009244;GO:0016301;GO:0016740;GO:0016772;GO:0016773;GO:0016779;GO:0033785;GO:0033786;GO:0042803;GO:0046835;GO:0097171,GO:0005975;GO:0009103;GO:0009244;GO:0046835;GO:0097171,GO:0000166;GO:0003824;GO:0005524;GO:0016301;GO:0016740;GO:0016772;GO:0016773;GO:0016779;GO:0033785;GO:0033786;GO:0042803,GO:0005829,GO:0003824;GO:0005829;GO:0005975;GO:0006629;GO:0016740;GO:0055086;GO:1901135
NP_417525.1,CDS,3196801,3199641,-,947552,b3053,glnE,NP_417525.1,fused glutamine synthetase deadenylase/glutaminesynthetase adenylyltransferase,transferase,low,GO:0000166;GO:0000287;GO:0003824;GO:0005524;GO:0005829;GO:0008882;GO:0016740;GO:0016779;GO:0047388;GO:0062132,GO:0062132,GO:0000166;GO:0000287;GO:0003824;GO:0005524;GO:0008882;GO:0016740;GO:0016779;GO:0047388,GO:0005829,GO:0003824;GO:0005829;GO:0016740;GO:0140096
NP_417526.1,CDS,3199664,3200965,-,947554,b3054,ygiF,NP_417526.1,inorganic triphosphatase,phosphatase,medium,GO:0016787;GO:0046872;GO:0050355,,GO:0016787;GO:0046872;GO:0050355,,GO:0003824;GO:0016787
NP_417527.1,CDS,3201207,3201827,+,947555,b3055,ygiM,NP_417527.1,putative signal transduction protein (SH3 domain),low_info,low,GO:0005829;GO:0005886;GO:0016020,,,GO:0005829;GO:0005886;GO:0016020,GO:0005829;GO:0005886
NP_417528.1,CDS,3201891,3203129,+,947553,b3056,cca,NP_417528.1,fused CCA tRNA nucleotidyltransferase/phosphohydrolase,trna,high,GO:0000049;GO:0000166;GO:0000287;GO:0001680;GO:0003723;GO:0003824;GO:0004112;GO:0004810;GO:0005515;GO:0005524;GO:0006396;GO:0008033;GO:0016740;GO:0016779;GO:0016787;GO:0016791;GO:0042245;GO:0046872;GO:0106354;GO:0160016,GO:0001680;GO:0006396;GO:0008033;GO:0042245;GO:0106354,GO:0000049;GO:0000166;GO:0000287;GO:0003723;GO:0003824;GO:0004112;GO:0004810;GO:0005515;GO:0005524;GO:0016740;GO:0016779;GO:0016787;GO:0016791;GO:0046872;GO:0160016,,GO:0003723;GO:0003824;GO:0006399;GO:0016740;GO:0016787;GO:0140098
NP_417529.1,CDS,3203310,3204131,-,947551,b3057,bacA,NP_417529.1,undecaprenyl pyrophosphate phosphatase,phosphatase,medium,GO:0000270;GO:0005886;GO:0008360;GO:0009252;GO:0016020;GO:0016311;GO:0016462;GO:0016787;GO:0046677;GO:0050380;GO:0071555,GO:0000270;GO:0008360;GO:0009252;GO:0016311;GO:0046677;GO:0071555,GO:0016462;GO:0016787;GO:0050380,GO:0005886;GO:0016020,GO:0003824;GO:0005886;GO:0016787;GO:0071554;GO:1901135
NP_417530.2,CDS,3204221,3204589,-,947544,b3058,folB,NP_417530.2,dihydroneopterin aldolase,other,low,GO:0004150;GO:0005737;GO:0006760;GO:0016829;GO:0016853;GO:0042802;GO:0046654;GO:0046656,GO:0006760;GO:0046654;GO:0046656,GO:0004150;GO:0016829;GO:0016853;GO:0042802,GO:0005737,GO:0003824;GO:0006575;GO:0006766;GO:0016829;GO:0016853
NP_417531.1,CDS,3204694,3205311,+,947561,b3059,plsY,NP_417531.1,putative glycerol-3-phosphate acyltransferase,low_info,low,GO:0004366;GO:0005886;GO:0006629;GO:0006644;GO:0008654;GO:0016740;GO:0042304;GO:0043772;GO:0055088,GO:0006629;GO:0006644;GO:0008654;GO:0042304;GO:0055088,GO:0004366;GO:0016740;GO:0043772,GO:0005886,GO:0003824;GO:0005886;GO:0006629;GO:0016740
NP_417532.1,CDS,3205324,3206256,-,947562,b3060,ttdR,NP_417532.1,DNA-binding transcriptional activator Dan,transcriptional_regulator,high,GO:0003700;GO:0006351;GO:0043565,GO:0006351,GO:0003700;GO:0043565,,GO:0003677;GO:0006351;GO:0140110
NP_417533.1,CDS,3206463,3207374,+,947565,b3061,ttdA,NP_417533.1,L(+)-tartrate dehydratase subunit alpha,other,low,GO:0004333;GO:0005515;GO:0005829;GO:0006099;GO:0008730;GO:0016829;GO:0044010;GO:0046872;GO:0051536;GO:0051539;GO:1901275;GO:1901276;GO:1902494,GO:0006099;GO:0044010;GO:1901275;GO:1901276,GO:0004333;GO:0005515;GO:0008730;GO:0016829;GO:0046872;GO:0051536;GO:0051539,GO:0005829;GO:1902494,GO:0003824;GO:0005829;GO:0006091;GO:0016829
NP_417534.1,CDS,3207371,3207976,+,947568,b3062,ttdB,NP_417534.1,L(+)-tartrate dehydratase subunit beta,other,low,GO:0008730;GO:0009408;GO:0016829;GO:0016836;GO:1901276;GO:1902494,GO:0009408;GO:1901276,GO:0008730;GO:0016829;GO:0016836,GO:1902494,GO:0003824;GO:0016829
NP_417535.1,CDS,3208024,3209487,+,947576,b3063,ttdT,NP_417535.1,L-tartrate:succinate antiporter,transporter,medium,GO:0005886;GO:0015297;GO:0015516;GO:0015745;GO:0016020;GO:0022857;GO:0055085;GO:0071422,GO:0015745;GO:0055085;GO:0071422,GO:0015297;GO:0015516;GO:0022857,GO:0005886;GO:0016020,GO:0005215;GO:0005886;GO:0055085
NP_417536.1,CDS,3209530,3210543,-,947578,b3064,tsaD,NP_417536.1,"N(6)-L-threonylcarbamoyladenine synthase, TsaD subunit",synthase,low,GO:0000287;GO:0000408;GO:0002949;GO:0005506;GO:0005515;GO:0005737;GO:0005829;GO:0006400;GO:0008033;GO:0016740;GO:0016746;GO:0016747;GO:0042802;GO:0046872;GO:0061711;GO:0070525;GO:0140032;GO:1990145,GO:0002949;GO:0006400;GO:0008033;GO:0070525;GO:1990145,GO:0000287;GO:0005506;GO:0005515;GO:0016740;GO:0016746;GO:0016747;GO:0042802;GO:0046872;GO:0061711;GO:0140032,GO:0000408;GO:0005737;GO:0005829,GO:0003824;GO:0005829;GO:0006399;GO:0016740;GO:0140098
NP_417537.1,CDS,3210781,3210996,+,947577,b3065,rpsU,NP_417537.1,30S ribosomal subunit protein S21,other,low,GO:0000028;GO:0002181;GO:0003723;GO:0003735;GO:0005737;GO:0005829;GO:0005840;GO:0006412;GO:0019843;GO:0022627;GO:1990904,GO:0000028;GO:0002181;GO:0006412,GO:0003723;GO:0003735;GO:0019843,GO:0005737;GO:0005829;GO:0005840;GO:0022627;GO:1990904,GO:0002181;GO:0003723;GO:0005198;GO:0005829;GO:0005840;GO:0042254;GO:0043226;GO:0065003
NP_417538.1,CDS,3211107,3212852,+,947570,b3066,dnaG,NP_417538.1,DNA primase,other,low,GO:0000428;GO:0003677;GO:0003899;GO:0005515;GO:0005737;GO:0006260;GO:0006269;GO:0008270;GO:0016740;GO:0016779;GO:0030894;GO:0031297;GO:0046872;GO:1990077;GO:1990156,GO:0006260;GO:0006269;GO:0031297,GO:0003677;GO:0003899;GO:0005515;GO:0008270;GO:0016740;GO:0016779;GO:0046872,GO:0000428;GO:0005737;GO:0030894;GO:1990077;GO:1990156,GO:0003677;GO:0003824;GO:0005694;GO:0006260;GO:0016740;GO:0043226;GO:0140098
NP_417539.1,CDS,3213047,3214888,+,947567,b3067,rpoD,NP_417539.1,RNA polymerase sigma factor RpoD,sigma_factor,high,GO:0000345;GO:0000976;GO:0003677;GO:0003700;GO:0003899;GO:0005515;GO:0005737;GO:0005829;GO:0006351;GO:0006352;GO:0006355;GO:0009408;GO:0010468;GO:0016987;GO:0045892;GO:1903865;GO:2000142,GO:0006351;GO:0006352;GO:0006355;GO:0009408;GO:0010468;GO:0045892;GO:2000142,GO:0000976;GO:0003677;GO:0003700;GO:0003899;GO:0005515;GO:0016987,GO:0000345;GO:0005737;GO:0005829;GO:1903865,GO:0003677;GO:0003824;GO:0005829;GO:0006351;GO:0006355;GO:0016740;GO:0140098;GO:0140110
NP_417540.1,CDS,3214967,3215473,-,947560,b3068,mug,NP_417540.1,stationary phase mismatch/uracil DNA glycosylase,other,low,GO:0000700;GO:0003677;GO:0004844;GO:0005737;GO:0006281;GO:0006285;GO:0006974;GO:0008263;GO:0016787,GO:0006281;GO:0006285;GO:0006974,GO:0000700;GO:0003677;GO:0004844;GO:0008263;GO:0016787,GO:0005737,GO:0003677;GO:0003824;GO:0006281;GO:0016787;GO:0140097
NP_417541.1,CDS,3215727,3216491,-,947582,b3070,nfeF,NP_417541.1,NADPH-dependent ferric-chelate reductase,reductase,low,GO:0005737;GO:0005829;GO:0016491;GO:0033214;GO:0050660;GO:0052851;GO:0071289;GO:0071949,GO:0033214;GO:0071289,GO:0016491;GO:0050660;GO:0052851;GO:0071949,GO:0005737;GO:0005829,GO:0003824;GO:0005829;GO:0016491
NP_417542.1,CDS,3216779,3217402,+,947584,b3071,nfeR,NP_417542.1,DNA-binding transcriptional repressor NfeR,transcriptional_regulator,high,GO:0003677;GO:0003700;GO:0005829;GO:0006974;GO:0045892;GO:0045893,GO:0006974;GO:0045892;GO:0045893,GO:0003677;GO:0003700,GO:0005829,GO:0003677;GO:0005829;GO:0006355;GO:0140110
NP_417543.1,CDS,3217556,3219076,-,945301,b3072,aer,NP_417543.1,aerotaxis receptor,other,low,GO:0004888;GO:0005886;GO:0006935;GO:0007165;GO:0016020;GO:0042802;GO:0052131,GO:0006935;GO:0007165;GO:0052131,GO:0004888;GO:0042802,GO:0005886;GO:0016020,GO:0005886;GO:0023052;GO:0060089
NP_417544.5,CDS,3219494,3220873,+,947120,b3073,patA,NP_417544.5,putrescine aminotransferase,transferase,low,GO:0005829;GO:0008483;GO:0009447;GO:0016740;GO:0019161;GO:0019477;GO:0030170;GO:0033094;GO:0042802;GO:0042803,GO:0009447;GO:0019477,GO:0008483;GO:0016740;GO:0019161;GO:0030170;GO:0033094;GO:0042802;GO:0042803,GO:0005829,GO:0003824;GO:0005829;GO:0006520;GO:0016740
NP_417545.1,CDS,3220915,3221247,-,946251,b3074,ygjH,NP_417545.1,putative tRNA-binding protein YgjH,low_info,low,GO:0000049;GO:0003723;GO:0042803,,GO:0000049;GO:0003723;GO:0042803,,GO:0003723
NP_417546.1,CDS,3221466,3222449,+,947586,b3075,ebgR,NP_417546.1,DNA-binding transcriptional repressor EbgR,transcriptional_regulator,high,GO:0000976;GO:0003677;GO:0003700;GO:0006355;GO:0045892,GO:0006355;GO:0045892,GO:0000976;GO:0003677;GO:0003700,,GO:0003677;GO:0006355;GO:0140110
YP_026199.1,CDS,3222633,3225725,+,947583,b3076,ebgA,YP_026199.1,evolved beta-D-galactosidase subunit alpha,other,low,GO:0003824;GO:0004553;GO:0004565;GO:0005515;GO:0005975;GO:0005990;GO:0009341;GO:0016787;GO:0016798;GO:0030246,GO:0005975;GO:0005990,GO:0003824;GO:0004553;GO:0004565;GO:0005515;GO:0016787;GO:0016798;GO:0030246,GO:0009341,GO:0003824;GO:0005975;GO:0016787
NP_417548.1,CDS,3225722,3226171,+,947581,b3077,ebgC,NP_417548.1,DUF386 domain-containing evolved beta-D-galactosidase subunit beta,other,low,GO:0005829;GO:0044010,GO:0044010,,GO:0005829,GO:0005829
YP_026200.1,CDS,3226234,3227667,+,947579,b3078,ygjI,YP_026200.1,putative transporter YgjI,low_info,low,GO:0005886;GO:0016020;GO:0022857;GO:0055085,GO:0055085,GO:0022857,GO:0005886;GO:0016020,GO:0005215;GO:0005886;GO:0055085
NP_417550.1,CDS,3227801,3228871,+,947597,b3079,ygjJ,NP_417550.1,protein YgjJ,other,low,,,,,
NP_417551.1,CDS,3228888,3231239,+,947596,b3080,ygjK,NP_417551.1,glycoside hydrolase,hydrolase,low,GO:0004555;GO:0005975;GO:0005991;GO:0005993;GO:0006974;GO:0009313;GO:0015926;GO:0016787;GO:0016798;GO:0046872;GO:1902687,GO:0005975;GO:0005991;GO:0005993;GO:0006974;GO:0009313,GO:0004555;GO:0015926;GO:0016787;GO:0016798;GO:0046872,GO:1902687,GO:0003824;GO:0005975;GO:0016787
NP_417552.1,CDS,3231665,3233683,+,947594,b3081,fadH,NP_417552.1,"2,4-dienoyl-CoA reductase",reductase,low,GO:0005515;GO:0006635;GO:0008670;GO:0010181;GO:0016491;GO:0033543;GO:0046872;GO:0051536;GO:0051539;GO:0071949,GO:0006635;GO:0033543,GO:0005515;GO:0008670;GO:0010181;GO:0016491;GO:0046872;GO:0051536;GO:0051539;GO:0071949,,GO:0003824;GO:0006629;GO:0016491
NP_417553.1,CDS,3233728,3234144,-,947593,b3082,higA,NP_417553.1,antitoxin/DNA-binding transcriptional repressor HigA,toxin_antitoxin,high,GO:0001046;GO:0003677;GO:0005515;GO:0006355;GO:0040008;GO:0042803;GO:0110001,GO:0006355;GO:0040008,GO:0001046;GO:0003677;GO:0005515;GO:0042803,GO:0110001,GO:0003677;GO:0006355
NP_417554.1,CDS,3234141,3234455,-,947591,b3083,higB,NP_417554.1,ribosome-dependent mRNA interferase toxin HigB,toxin_antitoxin,high,GO:0003723;GO:0004518;GO:0004519;GO:0004521;GO:0005515;GO:0006355;GO:0016787;GO:0017148;GO:0040008;GO:0043488;GO:0110001,GO:0006355;GO:0017148;GO:0040008;GO:0043488,GO:0003723;GO:0004518;GO:0004519;GO:0004521;GO:0005515;GO:0016787,GO:0110001,GO:0003723;GO:0003824;GO:0006355;GO:0016787;GO:0140098
NP_417555.4,CDS,3234739,3235875,-,947589,b3084,rlmG,NP_417555.4,23S rRNA m(2)G1835 methyltransferase,ribosomal_rna,high,GO:0003676;GO:0005737;GO:0006364;GO:0008168;GO:0008170;GO:0008757;GO:0008990;GO:0016740;GO:0031167;GO:0032259;GO:0052916;GO:0070475,GO:0006364;GO:0031167;GO:0032259;GO:0070475,GO:0003676;GO:0008168;GO:0008170;GO:0008757;GO:0008990;GO:0016740;GO:0052916,GO:0005737,GO:0003824;GO:0016740;GO:0042254;GO:0140098
NP_417556.2,CDS,3235960,3236463,+,947650,b3085,ygjP,NP_417556.2,putative metal-dependent hydrolase,low_info,low,GO:0000166;GO:0009117;GO:0016787;GO:0036221,GO:0009117,GO:0000166;GO:0016787;GO:0036221,,GO:0003824;GO:0016787;GO:0055086
NP_417557.1,CDS,3236540,3237232,+,947598,b3086,ygjQ,NP_417557.1,DUF218 domain-containing protein YgjQ,other,low,GO:0005886;GO:0016020,,,GO:0005886;GO:0016020,GO:0005886
NP_417558.2,CDS,3237311,3238297,+,947600,b3087,ygjR,NP_417558.2,putative oxidoreductase YgjR,low_info,low,GO:0000166;GO:0016491,,GO:0000166;GO:0016491,,GO:0003824;GO:0016491
YP_026201.1,CDS,3238580,3239545,+,947607,b3088,alx,YP_026201.1,putative membrane-bound redox modulator Alx,low_info,low,GO:0005886;GO:0016020;GO:0071467,GO:0071467,,GO:0005886;GO:0016020,GO:0005886
NP_417560.1,CDS,3239944,3241188,+,947605,b3089,sstT,NP_417560.1,serine/threonine:Na(+) symporter,transporter,medium,GO:0003333;GO:0005295;GO:0005886;GO:0006865;GO:0015171;GO:0015175;GO:0015194;GO:0015195;GO:0015293;GO:0015825;GO:0015826;GO:0016020;GO:0032329;GO:0055085,GO:0003333;GO:0006865;GO:0015825;GO:0015826;GO:0032329;GO:0055085,GO:0005295;GO:0015171;GO:0015175;GO:0015194;GO:0015195;GO:0015293,GO:0005886;GO:0016020,GO:0005215;GO:0005886;GO:0055085
NP_417561.1,CDS,3241193,3241744,-,947604,b3090,ygjV,NP_417561.1,inner membrane protein,membrane_protein,low,GO:0005886,,,GO:0005886,GO:0005886
NP_417562.1,CDS,3241827,3243314,-,947603,b3091,uxaA,NP_417562.1,D-altronate dehydratase,other,low,GO:0008198;GO:0008789;GO:0016829;GO:0019698,GO:0019698,GO:0008198;GO:0008789;GO:0016829,,GO:0003824;GO:0005975;GO:0016829
NP_417563.1,CDS,3243329,3244741,-,947599,b3092,uxaC,NP_417563.1,D-glucoronate/D-galacturonate isomerase,isomerase,low,GO:0006064;GO:0008880;GO:0016853;GO:0019698;GO:0042840,GO:0006064;GO:0019698;GO:0042840,GO:0008880;GO:0016853,,GO:0003824;GO:0005975;GO:0016853
NP_417564.2,CDS,3245224,3246522,+,947601,b3093,exuT,NP_417564.2,hexuronate transporter,transporter,medium,GO:0005886;GO:0015134;GO:0015736;GO:0015778;GO:0022857;GO:0055085,GO:0015736;GO:0015778;GO:0055085,GO:0015134;GO:0022857,GO:0005886,GO:0005215;GO:0005886;GO:0055085
NP_417565.2,CDS,3246652,3247428,+,947602,b3094,exuR,NP_417565.2,DNA-binding transcriptional repressor ExuR,transcriptional_regulator,high,GO:0000987;GO:0003677;GO:0003700;GO:0006355;GO:0045892,GO:0006355;GO:0045892,GO:0000987;GO:0003677;GO:0003700,,GO:0003677;GO:0006355;GO:0140110
NP_417566.1,CDS,3247773,3248435,+,947643,b3095,yqjA,NP_417566.1,DedA family protein YqjA,other,low,GO:0005886;GO:0009410;GO:0022857;GO:0043093;GO:0055085,GO:0009410;GO:0043093;GO:0055085,GO:0022857,GO:0005886,GO:0000910;GO:0005215;GO:0005886;GO:0022414;GO:0055085
NP_417567.1,CDS,3248439,3248822,+,947619,b3096,mzrA,NP_417567.1,modulator protein MzrA,other,low,GO:0005515;GO:0005886;GO:0019901,,GO:0005515;GO:0019901,GO:0005886,GO:0005886
NP_417568.2,CDS,3248969,3249337,+,947622,b3097,yqjC,NP_417568.2,DUF1090 domain-containing protein YqjC,other,low,,,,,
NP_417569.1,CDS,3249375,3249680,+,947614,b3098,yqjD,NP_417569.1,ribosome- and membrane-associated DUF883 domain-containing protein YqjD,other,low,GO:0005515;GO:0005886;GO:0043022;GO:0043024;GO:0060187,,GO:0005515;GO:0043022;GO:0043024,GO:0005886;GO:0060187,GO:0005886
NP_417570.1,CDS,3249683,3250087,+,947611,b3099,yqjE,NP_417570.1,inner membrane protein YqjE,membrane_protein,low,GO:0005886,,,GO:0005886,GO:0005886
NP_417571.1,CDS,3250077,3250376,+,947610,b3100,yqjK,NP_417571.1,PF13997 family protein YqjK,other,low,GO:0005829,,,GO:0005829,GO:0005829
NP_417572.2,CDS,3250562,3250954,+,947608,b3101,yqjF,NP_417572.2,DoxX family protein,low_info,low,GO:0005886,,,GO:0005886,GO:0005886
NP_417573.1,CDS,3251024,3252010,+,947615,b3102,yqjG,NP_417573.1,glutathionyl-hydroquinone reductase YqjG,reductase,low,GO:0004364;GO:0005737;GO:0016491;GO:0016672;GO:0042803,,GO:0004364;GO:0016491;GO:0016672;GO:0042803,GO:0005737,GO:0003824;GO:0016491;GO:0016740
NP_417574.1,CDS,3252304,3252669,+,947617,b3103,yhaH,NP_417574.1,putative inner membrane protein,low_info,low,GO:0005886;GO:0016020,,,GO:0005886;GO:0016020,GO:0005886
NP_417575.1,CDS,3252911,3253267,+,947612,b3104,yhaI,NP_417575.1,putative inner membrane protein,low_info,low,GO:0005886;GO:0016020,,,GO:0005886;GO:0016020,GO:0005886
NP_417576.1,CDS,3253318,3254214,-,947621,b3105,yhaJ,NP_417576.1,DNA-binding transcriptional activator YhaJ,transcriptional_regulator,high,GO:0000976;GO:0001216;GO:0003677;GO:0003700;GO:0006355;GO:2000144,GO:0006355;GO:2000144,GO:0000976;GO:0001216;GO:0003677;GO:0003700,,GO:0003677;GO:0006355;GO:0140110
NP_417577.1,CDS,3254319,3255020,+,947620,b3106,yhaK,NP_417577.1,bicupin-related protein,other,low,GO:0005737;GO:0051213,,GO:0051213,GO:0005737,GO:0003824;GO:0016491
NP_417578.2,CDS,3255043,3255207,+,947618,b3107,yhaL,NP_417578.2,uncharacterized protein YhaL,low_info,low,,,,,
YP_026203.3,CDS,3256679,3258010,-,947628,b3110,cyuP,YP_026203.3,cysteine detoxification protein CyuP,other,low,GO:0003333;GO:0005886;GO:0006865;GO:0009093;GO:0015695;GO:0015804;GO:0033229;GO:1903712;GO:1905039,GO:0003333;GO:0006865;GO:0009093;GO:0015695;GO:0015804;GO:1903712;GO:1905039,GO:0033229,GO:0005886,GO:0005215;GO:0005886;GO:0006520;GO:0006790;GO:0055085
